#ZVView-data-copy:  15-Feb-2026 15:30:14
#=======================================
#
#name:   29-CU-0(P,X)29-CU-61,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  47
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          62.4         1.11       0.0742      0.00539  # 1997,R.Michel+           ## O0276137  #dY:7.3%   
         62.73         0.34       0.0897       0.0042  # 2021,M.B.Fox+            ## C2702041  #dY:4.7%   
          62.8            0       0.0752       0.0065  # 1992,S.J.Mills+          ## A0507009  #dY:8.6%   
            63            0     0.084773       0.0025  # 2003,H.Yashima+          ## E1829068  #dY:2.9%   
          63.6        0.681       0.0665      0.00348  # 1997,R.Michel+           ## O0276137  #dY:5.2%   
          64.2         1.09       0.0727       0.0052  # 1997,R.Michel+           ## O0276137  #dY:7.2%   
          64.5            0        0.076       0.0065  # 1992,S.J.Mills+          ## A0507009  #dY:8.6%   
          64.9        0.663       0.0669      0.00354  # 1997,R.Michel+           ## O0276137  #dY:5.3%   
          65.1         0.34       0.0646     0.001938  # 1982,A.Gruetter          ## D0505007  #dY:3.0%   
          65.1         0.34       0.0673     0.002019  # 1982,A.Gruetter          ## D0505007  #dY:3.0%   
          65.8            0       0.0766       0.0062  # 1992,S.J.Mills+          ## A0507009  #dY:8.1%   
            66         1.08       0.0712      0.00519  # 1997,R.Michel+           ## O0276137  #dY:7.3%   
          66.2        0.641       0.0645      0.00339  # 1997,R.Michel+           ## O0276137  #dY:5.3%   
         66.81        0.325       0.0828       0.0039  # 2021,M.B.Fox+            ## C2702041  #dY:4.7%   
          67.5        0.622       0.0643      0.00335  # 1997,R.Michel+           ## O0276137  #dY:5.2%   
          67.6         0.34       0.0639     0.001917  # 1982,A.Gruetter          ## D0505007  #dY:3.0%   
          67.7         1.07       0.0694      0.00496  # 1997,R.Michel+           ## O0276137  #dY:7.1%   
          68.5            0       0.0755       0.0062  # 1992,S.J.Mills+          ## A0507009  #dY:8.2%   
          68.8        0.604       0.0641      0.00334  # 1997,R.Michel+           ## O0276137  #dY:5.2%   
          69.1          1.1       0.0784       0.0076  # 2016,S.A.Graves+         ## C2243008  #dY:9.7%   
          69.4         1.05       0.0679      0.00495  # 1997,R.Michel+           ## O0276137  #dY:7.3%   
          69.7         0.34       0.0625     0.001875  # 1982,A.Gruetter          ## D0505007  #dY:3.0%   
          69.7         0.34       0.0609     0.001827  # 1982,A.Gruetter          ## D0505007  #dY:3.0%   
          69.8         0.34        0.063      0.00189  # 1982,A.Gruetter          ## D0505007  #dY:3.0%   
            70        0.582       0.0625       0.0033  # 1997,R.Michel+           ## O0276137  #dY:5.3%   
         70.17         0.85       0.0651       0.0036  # 2018,A.S.Voyles+         ## C2327016  #dY:5.5%   
          71.2            0       0.0715       0.0058  # 1992,S.J.Mills+          ## A0507009  #dY:8.1%   
          71.4         1.02       0.0652      0.00465  # 1997,R.Michel+           ## O0276137  #dY:7.1%   
         72.22        0.305       0.0725       0.0035  # 2021,M.B.Fox+            ## C2702041  #dY:4.8%   
          73.7            0       0.0664       0.0054  # 1992,S.J.Mills+          ## A0507009  #dY:8.1%   
            76            0     0.069968      0.00206  # 2003,H.Yashima+          ## E1829068  #dY:2.9%   
          76.2            0       0.0642       0.0052  # 1992,S.J.Mills+          ## A0507009  #dY:8.1%   
          78.6            0       0.0622        0.005  # 1992,S.J.Mills+          ## A0507009  #dY:8.0%   
          78.6          0.9       0.0656       0.0058  # 2016,S.A.Graves+         ## C2243008  #dY:8.8%   
         79.03        0.285       0.0543       0.0029  # 2021,M.B.Fox+            ## C2702041  #dY:5.3%   
         79.95         0.64       0.0561       0.0032  # 2018,A.S.Voyles+         ## C2327016  #dY:5.7%   
            81            0       0.0596       0.0048  # 1992,S.J.Mills+          ## A0507009  #dY:8.1%   
          83.3            0       0.0568       0.0046  # 1992,S.J.Mills+          ## A0507009  #dY:8.1%   
          85.6            0       0.0565       0.0046  # 1992,S.J.Mills+          ## A0507009  #dY:8.1%   
          87.9            0       0.0548       0.0044  # 1992,S.J.Mills+          ## A0507009  #dY:8.0%   
            88            0     0.059603      0.00175  # 2003,H.Yashima+          ## E1829068  #dY:2.9%   
          89.4          0.6       0.0589       0.0047  # 2016,S.A.Graves+         ## C2243008  #dY:8.0%   
         89.74         0.43       0.0505       0.0033  # 2018,A.S.Voyles+         ## C2327016  #dY:6.5%   
          90.1            0       0.0523       0.0042  # 1992,S.J.Mills+          ## A0507009  #dY:8.0%   
         90.94         0.26       0.0606        0.003  # 2021,M.B.Fox+            ## C2702041  #dY:5.0%   
          92.2            0       0.0538       0.0044  # 1992,S.J.Mills+          ## A0507009  #dY:8.2%   
          94.3            0       0.0511       0.0041  # 1992,S.J.Mills+          ## A0507009  #dY:8.0%   
          96.4            0        0.049       0.0039  # 1992,S.J.Mills+          ## A0507009  #dY:8.0%   
          99.7            0       0.0482       0.0045  # 1992,S.J.Mills+          ## A0507009  #dY:9.3%   
           100            0     0.063913      0.00189  # 2003,H.Yashima+          ## E1829068  #dY:3.0%   
        104.49         0.37       0.0557       0.0029  # 2021,M.B.Fox+            ## C2702041  #dY:5.2%   
         105.4            0       0.0452       0.0042  # 1992,S.J.Mills+          ## A0507009  #dY:9.3%   
         112.2            0       0.0439        0.004  # 1992,S.J.Mills+          ## A0507009  #dY:9.1%   
         118.7            0       0.0424       0.0038  # 1992,S.J.Mills+          ## A0507009  #dY:9.0%   
        120.02        0.335       0.0466       0.0022  # 2021,M.B.Fox+            ## C2702041  #dY:4.7%   
         122.6            0        0.041       0.0037  # 1992,S.J.Mills+          ## A0507009  #dY:9.0%   
         127.9            0       0.0399       0.0035  # 1992,S.J.Mills+          ## A0507009  #dY:8.8%   
           133            0       0.0386       0.0034  # 1992,S.J.Mills+          ## A0507009  #dY:8.8%   
        134.08         0.31       0.0429       0.0019  # 2021,M.B.Fox+            ## C2702041  #dY:4.4%   
