#ZVView-data-copy:  15-Feb-2026 22:44:16
#=======================================
#
#name:   29-CU-0(P,X)28-NI-57,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  30
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
           111         1.61      0.00226     0.000196  # 1997,R.Michel+           ## O0276134  #dY:8.7%   
           111         1.61      0.00225     0.000214  # 1997,R.Michel+           ## O0276134  #dY:9.5%   
         112.2            0      0.00198      0.00018  # 1992,S.J.Mills+          ## A0507011  #dY:9.1%   
         118.7            0      0.00197      0.00018  # 1992,S.J.Mills+          ## A0507011  #dY:9.1%   
           121          1.3       0.0019      0.00014  # 1997,R.Michel+           ## O0276134  #dY:7.4%   
           121         1.53      0.00234     0.000236  # 1997,R.Michel+           ## O0276134  #dY:10.1%  
           121         1.53      0.00229     0.000198  # 1997,R.Michel+           ## O0276134  #dY:8.6%   
         122.6            0      0.00202      0.00018  # 1992,S.J.Mills+          ## A0507011  #dY:8.9%   
         127.9            0      0.00201      0.00018  # 1992,S.J.Mills+          ## A0507011  #dY:9.0%   
           131          1.3      0.00195      0.00014  # 1997,R.Michel+           ## O0276134  #dY:7.2%   
           131         1.43      0.00225     0.000244  # 1997,R.Michel+           ## O0276134  #dY:10.8%  
           131         1.43      0.00228     0.000196  # 1997,R.Michel+           ## O0276134  #dY:8.6%   
           133            0      0.00199      0.00018  # 1992,S.J.Mills+          ## A0507011  #dY:9.0%   
         137.9            0      0.00197      0.00017  # 1992,S.J.Mills+          ## A0507011  #dY:8.6%   
           140          1.2      0.00194      0.00014  # 1997,R.Michel+           ## O0276134  #dY:7.2%   
           140         1.34      0.00238     0.000214  # 1997,R.Michel+           ## O0276134  #dY:9.0%   
           140         1.35      0.00225     0.000196  # 1997,R.Michel+           ## O0276134  #dY:8.7%   
         142.7            0      0.00198      0.00017  # 1992,S.J.Mills+          ## A0507011  #dY:8.6%   
         147.5            0      0.00196      0.00017  # 1992,S.J.Mills+          ## A0507011  #dY:8.7%   
           148          1.1      0.00189      0.00014  # 1997,R.Michel+           ## O0276134  #dY:7.4%   
           148         1.26      0.00221     0.000194  # 1997,R.Michel+           ## O0276134  #dY:8.8%   
        148.86         0.29     0.001776       5.7e-5  # 2021,M.B.Fox+            ## C2702037  #dY:3.2%   
           149         1.25      0.00202     0.000205  # 1997,R.Michel+           ## O0276134  #dY:10.1%  
           150            0       0.0018         9e-5  # 1984,L.R.Greenwood+      ## C0537005  #dY:5.0%   
         153.1            0      0.00197      0.00017  # 1992,S.J.Mills+          ## A0507011  #dY:8.6%   
           158          1.1      0.00184      0.00013  # 1997,R.Michel+           ## O0276134  #dY:7.1%   
           158         1.14      0.00216     0.000198  # 1997,R.Michel+           ## O0276134  #dY:9.2%   
           158         1.14      0.00215      0.00019  # 1997,R.Michel+           ## O0276134  #dY:8.8%   
         158.7            0      0.00194      0.00017  # 1992,S.J.Mills+          ## A0507011  #dY:8.8%   
        163.49         0.27      0.00182       6.1e-5  # 2021,M.B.Fox+            ## C2702037  #dY:3.4%   
         164.1            0      0.00197      0.00017  # 1992,S.J.Mills+          ## A0507011  #dY:8.6%   
         169.4            0      0.00195      0.00016  # 1992,S.J.Mills+          ## A0507011  #dY:8.2%   
         177.2            0      0.00193      0.00016  # 1992,S.J.Mills+          ## A0507011  #dY:8.3%   
        177.28         0.26     0.001787       6.6e-5  # 2021,M.B.Fox+            ## C2702037  #dY:3.7%   
         183.8            0      0.00189      0.00016  # 1992,S.J.Mills+          ## A0507011  #dY:8.5%   
         190.2            0      0.00184      0.00015  # 1992,S.J.Mills+          ## A0507011  #dY:8.2%   
        192.54        0.245     0.001687       8.5e-5  # 2021,M.B.Fox+            ## C2702037  #dY:5.0%   
         196.6            0      0.00178      0.00015  # 1992,S.J.Mills+          ## A0507011  #dY:8.4%   
           200            0      0.00165      8.25e-5  # 1984,L.R.Greenwood+      ## C0537005  #dY:5.0%   
           200            0       0.0017       0.0002  # 1978,C.J.Orth+           ## O0418051  #dY:11.8%  
           205            0      0.00205       0.0002  # 1973,C.K.Garrett+        ## C1915002  #dY:9.8%   
           226          1.8      0.00164     0.000135  # 1996,Th.Schiekel+        ## O0284121  #dY:8.2%   
           250            0      0.00158       7.9e-5  # 1984,L.R.Greenwood+      ## C0537005  #dY:5.0%   
           271         1.28      0.00164     0.000136  # 1996,Th.Schiekel+        ## O0284121  #dY:8.3%   
           300            0      0.00146       7.3e-5  # 1984,L.R.Greenwood+      ## C0537005  #dY:5.0%   
           338         1.74      0.00153     0.000129  # 1996,Th.Schiekel+        ## O0284121  #dY:8.4%   
           350            0      0.00139      6.95e-5  # 1984,L.R.Greenwood+      ## C0537005  #dY:5.0%   
           350            0      0.00136      0.00021  # 1978,C.J.Orth+           ## O0418051  #dY:15.4%  
